DATETIME_OCCURRED,INC_ID,VEHICLE_ID,ROUTE,DELAY_MINUTES,SYMP_SYMPTOM,DESCRIPTION
6/29/2018 5:05:00 PM,2468682,LRV269,101,33,3100,OP ADVISED FRICTION BRAKE C-TRUCKý KEY OUT/UP DIDN`T CLEARý ADVISED TO CUT C TRUCK CONFIRMED IN A CAB. OP ADVISED AND CONFIRMED CUT OUT 7 TIMES. ADVISED ON LOCATION OF C TRUCK ROTA
6/29/2018 6:53:00 PM,2468614,LRV263,101,3,3122,LRV263 ADA RAMP BY DOOR 4ý LATCH WOULD NOT RELEASE RAMP FROM WALL EASILY. OP LEFT RAMP DOWN UNTIL PULL IN.   CAB B
6/29/2018 4:08:00 PM,2468525,1534,P,19,0505,WOULDN?T START// TRADED CALLED CCS WILL PROB BE LATE
6/29/2018 1:36:00 PM,2468424,6154,51,29,0022,STOP ENGINE LIGHT; -29 MIN
6/29/2018 12:10:00 PM,2468389,6063,45,10,1030,BUS WILL NOT GO/NO LEAKS/ASKED HIM TO TURN BUS OFF FOR 30 SEC AND RESTART/IT STARTED TO MOVE AGAIN///1220 BUS BROKE DOWN AGAIN/THIS TIME HE SAID THE RAMP LIGHT IS ON/I ASKED HIM TO
6/29/2018 9:56:00 AM,2468359,5245,31,32,0022,FIRE LIGHT; DROPPED 1.5 TRIPS; -55 MIN
6/29/2018 9:52:00 AM,2468347,5113,31,35,0022,STOP ENGINE LIGHT; BUS SHUT DOWN; DROPPED 1+ TRIPS; -45 MIN
6/29/2018 7:13:00 AM,2468333,6316,0,14,0225,PARKING BRAKE /PLASTIC KNOB/OFF/S14 MEET/ ATTACH TEMP/ T391 944
6/29/2018 5:42:00 AM,2468309,6336,0,11,0022,LOW COOLANT /DUS 726-746//T391/TOP OFF OK
6/29/2018 8:41:00 AM,2468304,6161,12,11,0160,CURBSIDE REAR TIRE IS FLAT/ SIDETRACKED/ CALLED FTCC/ TRIP ENDED AT WASG 64TH 847/ RESPACED 106TH MEL 934AM
6/29/2018 7:03:00 AM,2468253,9319,15L,5,0405,COOLANT LEAK/
6/29/2018 7:33:00 AM,2468243,LRV203,101,3,3138,TCU FAULTSý LRV203. AT RESTRICTEDý CUT CAR AT MINERAL. LRX.47 TO BRING CAR BACK TO ELATI.   CAB A
6/29/2018 6:20:00 AM,2468227,6176,62,31,0405,COOLANT LEAK; DROPPED 1.5 TRIPS; -37 MIN
6/29/2018 6:32:00 AM,2468221,6340,0,30,0001,OP FOUND NOTE BY ANOTHER DRIVER SAYING THAT BED BUGS WERE FOUND ON BUSý DOES NOT WANT TO GET BACK IN THE DRIVERS SEATý SENT BUS 6249 TO TRADE
6/29/2018 6:43:00 AM,2468212,LRV131,101,9,3122,TR. 67 LRV 131 DR. 11 OP. RPT ADA RAMP WAS BROKEN AND WAS UNABLE TO USE. OP. BURIED LRV CAUSING A DELAY OF PULLOUT.   CAB A
6/29/2018 6:36:00 AM,2468206,LRV128,101,8,3138,TR. 15 LRV 128 OP. RPT TCU AND MCB FAULTS ENTERING LITTLETON ST. OP. WAS UNABLE TO CLEAR FAULTS AND TRAIN WAS DE-BOARDED AT OXFORD ST.   CAB A
6/28/2018 7:13:00 PM,2467973,5056,10,27,0505,NO START; -27 MIN
6/28/2018 9:05:00 PM,2467963,LRV289,101,5,3132,PROPULSION FAULT WOULDN?T CLEAR WITH KEY DOWN KEY UP. CUT AT 10TH AND RETURNED TO ELATI.   CAB A
6/28/2018 4:45:00 PM,2467948,6190,76,30,0505,COOLANT LIGHT; CHECK ENGINE; -30 MIN
6/28/2018 5:34:00 PM,2467931,6318,0,70,0022,WHEN BUS LEAVES STOP BUS WILL ACCELERATE THEN BUS LOSES POWER AND SLOWS DOWN / ALSO MIL LIGHT IS ON / TRUCK WIL MEET OP DUS / OP WILL WRITE UP IN DOT BOOK / DVR
6/28/2018 6:18:00 PM,2467912,6266,133,2,0022,STOP ENGINE LIGHT ON.
6/28/2018 4:05:00 PM,2467838,6332,15,10,0012,OP SEAT AIR LEAK // WONT STAY IN PLACE //
6/28/2018 2:31:00 PM,2467832,6080,130,92,0022, ST FIRE SUPPRESSION ALARM ON. OPERATOR RE-SPACED TO AURORA STATION 5:21 PM
6/28/2018 4:29:00 PM,2467814,LRV204,101,15,3100,LRV204 FRICTN BRAKE FAULTS. BELIEVE IT IS B-TRUCK. KEPT STOPPING TRAIN. KEY OUT/IN AND CLEARED BUT FAULT KEPT COMING BACK. OOS AT ALAMEDA SB AND INTO ELATI. FILL SPACE NB AT BROADW
6/28/2018 1:18:00 PM,2467811,2221,16L,191,0610,THE ENGINE STALLED OUTý AND WONT RESTART.
6/28/2018 4:12:00 PM,2467808,LRV217,101,6,3128,APS FAULT. DE-BOARD AT ENGLý PULL INTO ELATI. CUT CONSIST AND PULLED OUT NB TO EVANS. LRV-217   CAB A
