ID,CODE,VEHICLE_CLASS
1606,1606,BUS
1608,1608,BUS
1610,1610,BUS
1612,1612,BUS
1614,1614,BUS
1616,1616,BUS
1618,1618,BUS
1620,1620,BUS
1622,1622,BUS
1624,1624,BUS
1626,1626,BUS
1628,1628,BUS
1631,1631,BUS
1633,1633,BUS
1635,1635,BUS
1000000,LRV101,LRV
1000001,LRV103,LRV
1000002,LRV105,LRV
1000003,LRV107,LRV
5001,5001,BUS
1000004,LRV109,LRV
5003,5003,BUS
1000005,LRV111,LRV
5005,5005,BUS
1000006,LRV113,LRV
5007,5007,BUS
1000007,LRV115,LRV
5009,5009,BUS
1000008,LRV117,LRV
5011,5011,BUS
1000009,LRV119,LRV
5013,5013,BUS
1000010,LRV121,LRV
5015,5015,BUS
1000011,LRV123,LRV
5017,5017,BUS
1000012,LRV125,LRV
5019,5019,BUS
1000013,LRV127,LRV
5021,5021,BUS
1000014,LRV129,LRV
5023,5023,BUS
1000015,LRV131,LRV
5025,5025,BUS
1000016,LRV133,LRV
5027,5027,BUS
1000017,LRV135,LRV
5029,5029,BUS
1000018,LRV137,LRV
5031,5031,BUS
1000019,LRV139,LRV
5033,5033,BUS
1000020,LRV141,LRV
5035,5035,BUS
1000021,LRV143,LRV
5037,5037,BUS
1000022,LRV145,LRV
5039,5039,BUS
1000023,LRV147,LRV
5041,5041,BUS
1000024,LRV149,LRV
5043,5043,BUS
5045,5045,BUS
5047,5047,BUS
5049,5049,BUS
5051,5051,BUS
5053,5053,BUS
5055,5055,BUS
5057,5057,BUS
5059,5059,BUS
5061,5061,BUS
5063,5063,BUS
5065,5065,BUS
5067,5067,BUS
5069,5069,BUS
5071,5071,BUS
5073,5073,BUS
5075,5075,BUS
5077,5077,BUS
5079,5079,BUS
5081,5081,BUS
5083,5083,BUS
5085,5085,BUS
5087,5087,BUS
5089,5089,BUS
5091,5091,BUS
5093,5093,BUS
1000025,LRV201,LRV
5095,5095,BUS
1000026,LRV203,LRV
5097,5097,BUS
1000027,LRV205,LRV
5099,5099,BUS
1000028,LRV207,LRV
5101,5101,BUS
1000029,LRV209,LRV
5103,5103,BUS
1000030,LRV211,LRV
5105,5105,BUS
9999,9999,BUS
1000031,LRV213,LRV
5107,5107,BUS
1000032,LRV215,LRV
5109,5109,BUS
1000033,LRV217,LRV
5111,5111,BUS
1000034,LRV219,LRV
5113,5113,BUS
1000035,LRV221,LRV
5115,5115,BUS
1000036,LRV223,LRV
5117,5117,BUS
1000037,LRV225,LRV
5119,5119,BUS
1000038,LRV227,LRV
5121,5121,BUS
1000039,LRV229,LRV
5123,5123,BUS
1000040,LRV231,LRV
5125,5125,BUS
1000041,LRV233,LRV
5127,5127,BUS
1000042,LRV235,LRV
5129,5129,BUS
1000043,LRV237,LRV
5131,5131,BUS
1000044,LRV239,LRV
1000045,LRV241,LRV
5135,5135,BUS
1000046,LRV243,LRV
5137,5137,BUS
5139,5139,BUS
1000048,LRV247,LRV
5141,5141,BUS
1000049,LRV249,LRV
5143,5143,BUS
5145,5145,BUS
1000051,LRV253,LRV
5147,5147,BUS
1000052,LRV255,LRV
5149,5149,BUS
5151,5151,BUS
1000054,LRV259,LRV
5153,5153,BUS
1000055,LRV261,LRV
5155,5155,BUS
5157,5157,BUS
1000057,LRV265,LRV
5159,5159,BUS
1000058,LRV267,LRV
5161,5161,BUS
1901,1901,BUS
5163,5163,BUS
1000060,LRV271,LRV
5165,5165,BUS
1000061,LRV273,LRV
1905,1905,BUS
5167,5167,BUS
1000062,LRV275,LRV
1907,1907,BUS
5169,5169,BUS
1000063,LRV277,LRV
1909,1909,BUS
5171,5171,BUS
1000064,LRV279,LRV
1911,1911,BUS
5173,5173,BUS
1000065,LRV281,LRV
1913,1913,BUS
5175,5175,BUS
1000066,LRV283,LRV
1915,1915,BUS
5177,5177,BUS
1000067,LRV285,LRV
5179,5179,BUS
1000068,LRV287,LRV
1919,1919,BUS
5181,5181,BUS
1000069,LRV289,LRV
1921,1921,BUS
5183,5183,BUS
1000070,LRV291,LRV
5185,5185,BUS
1000071,LRV293,LRV
1925,1925,BUS
5187,5187,BUS
1000072,LRV295,LRV
1927,1927,BUS
5189,5189,BUS
1000073,LRV297,LRV
1929,1929,BUS
5191,5191,BUS
1000074,LRV299,LRV
1931,1931,BUS
5193,5193,BUS
1000075,LRV301,LRV
1933,1933,BUS
5195,5195,BUS
1000076,LRV303,LRV
5197,5197,BUS
1000077,LRV305,LRV
1937,1937,BUS
5199,5199,BUS
1000078,LRV307,LRV
1939,1939,BUS
5201,5201,BUS
1000079,LRV309,LRV
1941,1941,BUS
5203,5203,BUS
1000080,LRV311,LRV
1943,1943,BUS
5205,5205,BUS
1000081,LRV313,LRV
5207,5207,BUS
1000082,LRV315,LRV
1947,1947,BUS
5209,5209,BUS
1000083,LRV317,LRV
1949,1949,BUS
5211,5211,BUS
1000084,LRV319,LRV
1951,1951,BUS
5213,5213,BUS
1000085,LRV321,LRV
1953,1953,BUS
5215,5215,BUS
1000086,LRV323,LRV
1955,1955,BUS
5217,5217,BUS
1957,1957,BUS
5219,5219,BUS
1959,1959,BUS
5221,5221,BUS
1961,1961,BUS
5223,5223,BUS
1963,1963,BUS
5225,5225,BUS
1965,1965,BUS
5227,5227,BUS
1967,1967,BUS
5229,5229,BUS
1969,1969,BUS
5231,5231,BUS
1971,1971,BUS
5233,5233,BUS
5235,5235,BUS
5237,5237,BUS
5239,5239,BUS
5241,5241,BUS
5243,5243,BUS
5245,5245,BUS
5247,5247,BUS
5249,5249,BUS
5251,5251,BUS
1991,1991,BUS
5253,5253,BUS
1993,1993,BUS
5255,5255,BUS
1995,1995,BUS
5257,5257,BUS
5259,5259,BUS
5261,5261,BUS
2001,2001,BUS
5263,5263,BUS
2003,2003,BUS
5265,5265,BUS
2005,2005,BUS
2007,2007,BUS
2009,2009,BUS
2011,2011,BUS
2013,2013,BUS
2015,2015,BUS
2017,2017,BUS
2019,2019,BUS
2021,2021,BUS
2023,2023,BUS
2025,2025,BUS
2027,2027,BUS
2029,2029,BUS
2031,2031,BUS
2033,2033,BUS
2035,2035,BUS
2037,2037,BUS
2039,2039,BUS
2041,2041,BUS
2043,2043,BUS
2045,2045,BUS
2047,2047,BUS
2049,2049,BUS
2051,2051,BUS
2053,2053,BUS
2055,2055,BUS
2057,2057,BUS
2059,2059,BUS
2061,2061,BUS
2063,2063,BUS
2065,2065,BUS
2067,2067,BUS
2069,2069,BUS
2071,2071,BUS
2073,2073,BUS
2075,2075,BUS
2077,2077,BUS
2079,2079,BUS
2040,2040,BUS
2856,2856,BUS
2042,2042,BUS
2858,2858,BUS
2044,2044,BUS
2860,2860,BUS
2046,2046,BUS
2862,2862,BUS
2048,2048,BUS
2864,2864,BUS
2050,2050,BUS
2866,2866,BUS
2052,2052,BUS
2868,2868,BUS
2054,2054,BUS
2870,2870,BUS
2056,2056,BUS
2872,2872,BUS
2058,2058,BUS
2874,2874,BUS
2060,2060,BUS
2876,2876,BUS
2062,2062,BUS
2878,2878,BUS
2064,2064,BUS
2880,2880,BUS
2066,2066,BUS
2882,2882,BUS
2068,2068,BUS
2884,2884,BUS
2070,2070,BUS
2072,2072,BUS
2074,2074,BUS
2076,2076,BUS
2078,2078,BUS
2080,2080,BUS
2082,2082,BUS
2084,2084,BUS
2086,2086,BUS
2088,2088,BUS
2090,2090,BUS
2092,2092,BUS
2094,2094,BUS
2096,2096,BUS
2098,2098,BUS
2100,2100,BUS
2102,2102,BUS
2104,2104,BUS
2106,2106,BUS
2108,2108,BUS
2110,2110,BUS
2112,2112,BUS
2114,2114,BUS
2116,2116,BUS
2118,2118,BUS
2120,2120,BUS
2122,2122,BUS
2124,2124,BUS
2126,2126,BUS
2128,2128,BUS
2130,2130,BUS
2132,2132,BUS
2134,2134,BUS
2136,2136,BUS
2138,2138,BUS
2140,2140,BUS
2142,2142,BUS
2144,2144,BUS
2146,2146,BUS
2148,2148,BUS
2150,2150,BUS
2152,2152,BUS
2154,2154,BUS
2156,2156,BUS
2158,2158,BUS
2160,2160,BUS
2162,2162,BUS
2164,2164,BUS
2166,2166,BUS
2168,2168,BUS
2170,2170,BUS
2172,2172,BUS
3802,3802,BUS
2174,2174,BUS
2176,2176,BUS
3806,3806,BUS
2178,2178,BUS
3808,3808,BUS
