"Date","TimeVideo","updateLat","updateLon","Description","Route","direction","Vehicle","Passenger_Count"
2017-01-28,19:24:00,45.0932854,-93.3795312,"Passenger falls out of mobility device",724,NA,"1535",NA
2016-08-19,20:14:00,45.0132311,-93.2522788,"With fixed objects",17,NA,"7223",0
2016-08-19,20:14:00,45.0132861,-93.2567066,"With fixed objects",17,NA,"7223",0
2017-09-11,20:19:00,44.9486914,-93.2526002,"Falls alighting - front door",14,NA,"1438",NA
2017-04-20,17:29:00,45.0791619,-93.3357341,"Incidents not otherwise classified",781,NA,"60033",NA
2017-01-11,16:23:00,44.9919135,-93.2947681,"Falls, bumps, etc. - bus starting",5,NA,"1656",NA
2017-04-24,08:33:00,45.0691009,-93.2862267,"With fixed objects",854,NA,"1538",20
2016-07-14,18:41:00,44.9390623,-93.2778963,"Falls, bumps, etc. - bus running straight",18,"Southbound","7327",NA
2017-06-28,07:49:00,44.9432776,-93.3579798,"Falls, bumps, etc. - bus starting",668,NA,"3240",20
2018-03-23,21:20:00,44.96336,-93.23296,"Falls boarding",2,"Westbound","1567",NA
2017-07-19,17:06:00,44.9724033,-93.2677309,"Struck by doors - boarding",9,"Westbound","1177",NA
2018-02-18,20:46:00,44.949583,-93.3684007,"Struck by rear doors alighting (push out doors, self closing)",17,"Southbound","7115",NA
2017-08-04,17:44:00,44.9627233,-93.2587535,"Falls, bumps, etc. - bus stopping",9,NA,"1724",NA
2017-03-04,17:55:00,44.9964918,-93.3081779,"Falls, bumps, etc. - bus starting",19,"Northbound","1645",NA
2018-01-21,14:30:00,45.01392,-93.16883,"Sideswipe - bus passing other vehicle (moving/standing/double parked)",32,"Westbound","1502",NA
2017-10-15,14:21:00,45.06924,-93.32716,"Falls, bumps, etc. - bus starting",724,"Southbound","7177",NA
2017-02-01,18:41:00,44.9779873,-93.271733,"Falls, bumps, etc. - bus stopping",14,NA,"1271",10
2016-12-28,20:46:00,44.8983993,-93.2229102,"Falls, bumps, etc. - bus turning at curves or corners",22,"Southbound","1700",1
2016-11-16,08:44:00,44.9905965,-93.2518958,"Straight across - other vehicle from left",2,"Eastbound","1574",NA
2018-03-07,15:18:00,44.95416,-93.27138,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",554,"Pull-Out","7327",NA
2017-06-09,16:30:00,44.979936,-93.2915599,"Falls boarding",9,"Eastbound","1729",NA
2017-03-05,20:57:00,44.9624495,-93.2486421,"Falls, bumps, etc. - bus starting",2,"Eastbound","1722",NA
2016-08-26,15:21:00,44.9625037,-93.2459935,"Falls, bumps, etc. - bus running straight",67,"Eastbound","1325",NA
2016-10-19,09:48:00,45.2153536,-93.4162966,"Sideswipe - bus and vehicle opposite directions (moving/standing/double parked)",852,NA,"1663",1
2017-01-19,08:20:00,45.069249,-93.3465296,"All other collisions by bus and vehicle between intersections",760,"Eastbound","3441",20
2017-01-18,15:50:00,44.9806533,-93.278385,"Vehicle hit bus (except #28) (includes vehicle backing or rolling back)",19,"Northbound","1116",15
2018-02-28,14:54:00,44.96502,-93.26258,"Sideswipes between intersections",5,"Southbound","1539",NA
2016-06-02,13:00:00,45.0765799,-93.3120407,"At terminals (except #46)",722,"Garage","1550",0
2018-05-03,18:53:00,45.09999,-93.37328,"With fixed objects",760,"Pull-in","7229",NA
2017-06-08,16:38:00,44.9592508,-93.2626183,"Falls, bumps, etc. - bus stopping",5,"Southbound","1547",NA
2017-03-27,15:13:00,45.0316053,-93.2958138,"With fixed objects",5,"Southbound","3246",35
2018-02-05,15:45:00,44.98229,-93.26267,"With fixed objects",270,"Northbound","3411",30
2016-08-10,16:09:00,44.981055,-93.2633764,"Collision - other vehicle parked at curb (includes opened doors)",133,"Westbound","7114",0
2017-06-10,21:35:00,44.9341799,-93.2490784,"Falls, bumps, etc. - bus stopping",63,"Westbound","1566",NA
2017-05-18,17:06:00,45.0130329,-93.3081417,"Falls boarding",5,"Northbound","1543",NA
2016-11-23,16:28:00,44.9846102,-93.2842504,"Falls alighting - rear door (manual)",5,"Southbound","1124",NA
2018-02-05,09:04:00,44.98383,-93.26897,"Right turn - other vehicle from right",4,"Northbound","1314",0
2017-01-23,16:45:00,45.0889681,-93.288551,"Bus hits vehicle (includes bus backing or rolling back, except #46)",765,"Southbound","3242",8
2016-07-27,17:42:00,44.9756349,-93.2682052,"Bus hits vehicle (includes bus backing or rolling back, except #46)",758,"Southbound","1758",NA
2018-04-09,16:29:00,44.97677,-93.26317,"End to end except in loading zones",756,"Terminal","1515",NA
2017-08-02,16:20:00,45.0136322,-93.2880583,"Vehicle hits bus standing in zone (except #11)",22,"Southbound","1430",15
2017-12-11,10:59:00,44.96184,-93.29214,"Falls, bumps, etc. - bus starting",6,"Southbound","1431",12
2017-08-17,18:05:00,44.9483161,-93.2137806,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",21,"Eastbound","1209",NA
2017-01-16,20:51:00,44.9736453,-93.2347132,"With fixed objects",2,"Westbound","1721",NA
2017-10-27,00:08:00,44.951,-93.10165,"With fixed objects",3,"Eastbound","1628",5
2016-12-17,18:32:00,44.9465693,-93.1209414,"Sideswipe - bus and vehicle opposite directions (moving/standing/double parked)",21,"Eastbound","1732",NA
2016-05-05,17:47:00,44.9379347,-93.2779078,"Bus hits vehicle (includes bus backing or rolling back, except #46)",17,"Eastbound","7165",NA
2018-03-25,18:46:00,44.95937,-93.12395,"Falls boarding",67,"Westbound","7219",7
2017-08-05,14:21:00,44.9483577,-93.2798874,"Falls alighting - front door",21,"Eastbound","1727",NA
2016-05-29,13:35:00,44.9748664,-93.2801927,"Limited Mobility device tips, securement issue, seat belt issue, or occupants fall ",17,"Southbound","7158",NA
2017-06-10,18:17:00,44.9472487,-93.0852028,"Falls not otherwise classified",21,"Terminal","1572",1
2017-06-16,00:21:00,44.9795028,-93.3084182,"Falls not otherwise classified",9,"Westbound","1724",3
2016-09-30,17:27:00,44.9745401,-93.2810506,"Falls, bumps, etc. - bus stopping",12,"Eastbound","1729",1
2018-04-04,20:15:00,44.9763,-93.27713,"Falls, bumps, etc. - bus stopping",4,"Northbound","1567",NA
2017-07-20,13:22:00,44.9468053,-93.0945429,"Caught/struck by doors (not boarding or alighting)",21,"Westbound","1344",0
2017-08-17,16:44:00,44.919933,-93.2077308,"On board accidents not otherwise classified",23,"Eastbound","1212",6
2017-06-30,12:54:00,45.2063345,-93.4024439,"Bus hits vehicle (includes bus backing or rolling back, except #46)",852,"Northbound","1546",NA
2017-05-26,11:34:00,44.9846147,-93.2841713,"Bus pulling away from zone hits or is hit by moving vehicle (except #11)",22,"Southbound","1117",15
2016-08-15,14:25:00,44.9717851,-93.2600223,"End to end in loading zone (except #46)",724,"Westbound","1125",NA
2017-04-28,15:26:00,45.0495607,-93.3214652,"Falls, bumps, etc. - bus stopping",22,"Northbound","1122",4
2017-11-17,21:17:00,45.02582,-93.3083,"Incidents not otherwise classified",19,"Northbound","1658",25
2018-04-22,19:10:00,45.05916,-93.24772,"Vehicle turns right in front of bus (includes bus standing/leaving nearside zone)",10,"Southbound","7341",NA
2017-06-30,16:36:00,45.0099315,-93.1989393,"Collision on, entering or exiting a bus shoulder lane",270,"Northbound","1305",NA
2017-05-10,08:20:00,44.9851728,-93.2645298,"Bus hits vehicle (includes bus backing or rolling back, except #46)",141,"Southbound","1133",30
2017-05-11,12:12:00,44.9736142,-93.2639978,"Falls alighting - rear door (manual)",19,NA,"1511",NA
2017-12-10,17:36:00,44.97005,-93.2779,"Falls, bumps, etc. - bus running straight",10,"Eastbound","7207",2
2017-01-09,20:46:00,44.9073164,-93.2749782,"All other collisions by bus and vehicle between intersections",535,"Southbound","1062",5
2017-07-24,14:58:00,44.9484462,-93.2498305,"Limited Mobility device tips, securement issue, seat belt issue, or occupants fall ",22,"Westbound","1403",6
2017-01-16,20:04:00,44.9203798,-93.2199478,"Falls alighting - rear door (manual)",921,"Terminal","8000",NA
2017-11-30,17:29:00,44.96544,-93.08852,"Collision - other vehicle cutting into bus (except #11)",21,"Eastbound","1208",6
2017-07-21,07:21:00,44.9412124,-93.1068852,"Vehicle hits bus standing in zone (except #11)",74,"Eastbound","1775",0
2018-01-10,17:18:00,44.93207,-93.08076,"Falls, bumps, etc. - bus starting",71,"Northbound","1605",NA
2017-12-22,13:32:00,44.95681,-93.02701,"Falls, bumps, etc. - bus stopping",63,"Westbound","7307",13
2018-01-05,23:18:00,44.91788,-93.19026,"Incidents not otherwise classified",74,"Westbound","1534",3
2017-05-21,20:52:00,44.9626206,-93.2703757,"Collision - other vehicle cutting into bus (except #11)",2,"Eastbound","7157",10
2017-04-19,18:25:00,45.005762,-93.1666846,"With fixed objects",84,"Southbound","1403",5
2018-04-03,20:24:00,44.96079,-93.26251,"Vehicle hits bus standing in zone (except #11)",5,"Northbound","1115",NA
2018-02-03,17:19:00,44.94588,-93.09125,"Collision - other vehicle pulling to/from curb or driveway",16,"Westbound","1141",1
2018-04-03,19:19:00,44.91231,-93.29348,"With fixed objects",4,"Eastbound","1150",0
2018-04-03,06:57:00,45.01197,-93.05482,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",270,"Northbound","3412",1
2018-01-30,08:00:00,44.97463,-93.28055,"Struck by doors - boarding",12,"Northbound","1440",30
2016-06-16,18:37:00,45.1679738,-93.25561,"Falls, bumps, etc. - bus stopping",854,"Northbound","3200",NA
2017-05-16,14:51:00,44.9850393,-93.28336,"With fixed objects",32,NA,"3254",NA
2018-02-01,16:56:00,44.98037,-93.2715,"Incidents not otherwise classified",25,"Northbound","1708",25
2018-02-07,18:29:00,44.9787442,-93.2736667,"Falls alighting - front door",11,"Northbound","7116",NA
2018-05-02,17:10:00,44.96803,-93.26858,"Falls, bumps, etc. - bus turning at curves or corners",2,"Westbound","1728",15
2016-09-13,07:45:00,44.9844755,-93.2863199,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",19,"Northbound","1125",20
2018-01-30,18:04:00,45.02594,-93.29575,"With fixed objects",250,"Northbound","1638",45
2017-09-26,15:12:00,44.97069,-93.25726,"Struck by doors - boarding",14,NA,"1793",NA
2017-05-17,14:46:00,44.9270571,-93.1674747,"With fixed objects",74,"Westbound","1101",0
2018-02-20,15:37:00,44.9923,-93.2372,"Falls boarding",11,"Northbound","1442",12
2017-04-03,17:10:00,44.9041325,-93.2781879,"Falls, bumps, etc. - bus stopping",18,"Southbound","7222",NA
2017-08-14,09:06:00,44.9835714,-93.2829968,"Sideswipe - other vehicle passing bus (bus standing/moving in traffic)",768,NA,"3239",NA
2017-05-22,18:31:00,44.9484279,-93.1882341,"Sideswipe - bus passing other vehicle (moving/standing/double parked)",21,"Westbound","1215",25
2017-02-10,17:45:00,44.974914,-93.280408,"Bus hits vehicle (includes bus backing or rolling back, except #46)",854,"Eastbound","3444",NA
2017-05-04,06:55:00,45.0771169,-93.3124697,"With fixed objects",781,NA,"60086",45
2016-11-25,16:52:00,44.9701153,-93.105912,"Left turn - other vehicle from ahead",3,"Westbound","1757",NA
2017-12-11,07:37:00,44.85165,-92.99124,"Straight across - other vehicle from right",365,"Northbound","3420",7
2017-06-03,22:50:00,44.9650391,-93.2625038,"Falls boarding",5,"Northbound","3353",NA
2016-09-24,12:29:00,44.9555906,-93.1660376,"Vehicle turns right in front of bus (includes bus standing/leaving nearside zone)",21,"Eastbound","1717",NA
2017-01-31,09:08:00,44.9459493,-93.2774007,"On company property (except terminals)",554,"Terminal","7326",NA
